,Country Name,Country Code,Indicator Name,Indicator Code,Time Period,Value,Status,Unnamed: 7
9807937,Rwanda,714,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1978M9,198.4816683,,
9809587,"China, P.R.: Hong Kong",532,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1993M4,95.24886878,,
9811972,Netherlands,138,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1977M12,71.70614469,,
9814636,Japan,158,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1968M11,63.62657366,,
9814637,Japan,158,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1995M12,94.23909827,,
9815822,Netherlands,138,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1992M5,93.16098707,,
9819143,Paraguay,288,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1977M3,54.80766409,,
9819559,Canada,156,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1964M7,14.87622969,,
9821360,Netherlands,138,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1989M4,95.55202354,,
9823553,Bangladesh,513,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1990M8,113.0107215,,
9823871,Zimbabwe,698,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1985M4,98.40848806,,
9824438,"Korea, Republic of",542,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2007M7,81.80163405,,
9824544,Thailand,578,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2002M6,87.22628434,,
9824955,Panama,283,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1965M12,27.03080519,,
9828198,Jordan,439,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2011M7,108.151184,,
9830159,India,534,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1975M11,6.272415029,,
9830804,Spain,184,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1959M11,11.79610173,,
9831446,Italy,136,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1966M11,4.929843336,,
9831461,India,534,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1965M9,2.247415593,,
9833198,Papua New Guinea,853,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1972M7,2.034042352,,
9833572,Bangladesh,513,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1984M10,94.19878296,,
9834969,Italy,136,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2003M9,77.51614233,,
9836419,Thailand,578,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1998M6,95.55124269,,
9836420,Thailand,578,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2013M3,103.0934103,,
9837576,Canada,156,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2001M12,91.06653851,,
9839110,India,534,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1960M6,2.071530894,,
9839545,"China, P.R.: Hong Kong",532,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2000M3,91.74208145,,
9841713,Ireland,178,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1996M5,105.9958763,,
9841972,Denmark,128,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2012M10,107.2689938,,
9844343,Paraguay,288,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1985M9,87.76821614,,
9846703,Papua New Guinea,853,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1976M4,4.190728897,,
9850300,"China, P.R.: Hong Kong",532,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2011M3,105.5429864,,
9850661,Japan,158,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1977M4,97.23700662,,
9852240,Germany,134,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1957M11,51.09624408,,
9853287,Canada,156,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1994M9,77.94965677,,
9855246,Netherlands,138,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2008M5,104.9118684,,
9856380,Canada,156,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1973M3,19.14222277,,
9856381,Canada,156,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1979M5,42.05041321,,
9856403,Canada,156,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1991M11,66.60221862,,
9858031,Germany,134,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1978M3,79.2682273,,
9858459,Papua New Guinea,853,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1982M3,5.962071804,,
9858884,"China, P.R.: Hong Kong",532,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1985M4,78.95927602,,
9858885,"China, P.R.: Hong Kong",532,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2005M7,88.34841629,,
9859885,Belgium,124,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1996M8,72.25,,
9861199,"Korea, Republic of",542,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2003M6,92.06715796,,
